 plgrid/tools/java8/oracle/1.8.0_144 unloaded.
 plgrid/tools/java8/oracle/1.8.0 loaded.

The following have been reloaded with a version change:
  1) plgrid/tools/java8/oracle/1.8.0_144 => plgrid/tools/java8/oracle/1.8.0

cpus: 1 time: 506.080000
cpus: 2 time: 395.488000
cpus: 3 time: 375.477000
cpus: 4 time: 391.731000
cpus: 5 time: 405.258000
cpus: 6 time: 414.896000
cpus: 7 time: 389.709000
cpus: 8 time: 364.210000
cpus: 9 time: 403.259000
cpus: 10 time: 388.714000
cpus: 11 time: 419.610000
cpus: 12 time: 530.085000
cpus: 13 time: 433.770000
cpus: 14 time: 562.063000
cpus: 15 time: 413.627000
cpus: 16 time: 404.330000
cpus: 17 time: 382.734000
cpus: 18 time: 382.688000
cpus: 19 time: 402.816000
cpus: 20 time: 391.666000
cpus: 21 time: 432.804000
cpus: 22 time: 405.219000
cpus: 23 time: 368.298000
cpus: 24 time: 374.101000
cpus: 25 time: 429.540000
cpus: 26 time: 601.996000
cpus: 27 time: 562.064000
cpus: 28 time: 388.949000
cpus: 29 time: 427.393000
cpus: 30 time: 444.174000
cpus: 31 time: 411.375000
cpus: 32 time: 437.824000
cpus: 33 time: 389.936000
cpus: 34 time: 395.081000
cpus: 35 time: 387.939000
cpus: 36 time: 525.730000
cpus: 37 time: 388.128000
cpus: 38 time: 434.331000
cpus: 39 time: 435.903000
cpus: 40 time: 406.739000
cpus: 41 time: 393.827000
cpus: 42 time: 393.124000
cpus: 43 time: 393.441000
cpus: 44 time: 465.548000
cpus: 45 time: 385.920000
cpus: 46 time: 392.341000
cpus: 47 time: 424.632000
cpus: 48 time: 415.249000
cpus: 49 time: 381.345000
cpus: 50 time: 386.734000
cpus: 51 time: 411.452000
cpus: 52 time: 391.505000
cpus: 53 time: 412.006000
cpus: 54 time: 418.176000
cpus: 55 time: 440.252000
cpus: 56 time: 400.303000
cpus: 57 time: 578.461000
cpus: 58 time: 416.686000
cpus: 59 time: 397.275000
cpus: 60 time: 406.765000
cpus: 61 time: 397.576000
cpus: 62 time: 457.580000
cpus: 63 time: 398.543000
cpus: 64 time: 360.510000
AKKA START
cpus: 1 time: 0.066000
cpus: 2 time: 0.031000
cpus: 3 time: 0.034000
cpus: 4 time: 0.029000
cpus: 5 time: 0.029000
cpus: 6 time: 0.029000
cpus: 7 time: 0.029000
cpus: 8 time: 0.029000
cpus: 9 time: 0.029000
cpus: 10 time: 0.029000
cpus: 11 time: 0.034000
cpus: 12 time: 0.029000
cpus: 13 time: 0.029000
cpus: 14 time: 0.029000
cpus: 15 time: 0.029000
cpus: 16 time: 0.029000
cpus: 17 time: 0.029000
cpus: 18 time: 0.030000
cpus: 19 time: 0.034000
cpus: 20 time: 0.030000
cpus: 21 time: 0.029000
cpus: 22 time: 0.029000
cpus: 23 time: 0.029000
cpus: 24 time: 0.029000
cpus: 25 time: 0.036000
cpus: 26 time: 0.030000
cpus: 27 time: 0.029000
cpus: 28 time: 0.030000
cpus: 29 time: 0.029000
cpus: 30 time: 0.028000
cpus: 31 time: 0.029000
cpus: 32 time: 0.029000
cpus: 33 time: 0.029000
cpus: 34 time: 0.029000
cpus: 35 time: 0.034000
cpus: 36 time: 0.028000
cpus: 37 time: 0.028000
cpus: 38 time: 0.029000
cpus: 39 time: 0.028000
cpus: 40 time: 0.029000
cpus: 41 time: 0.028000
cpus: 42 time: 0.028000
cpus: 43 time: 0.034000
cpus: 44 time: 0.029000
cpus: 45 time: 0.029000
cpus: 46 time: 0.029000
cpus: 47 time: 0.029000
cpus: 48 time: 0.029000
cpus: 49 time: 0.028000
cpus: 50 time: 0.028000
cpus: 51 time: 0.033000
cpus: 52 time: 0.028000
cpus: 53 time: 0.033000
cpus: 54 time: 0.029000
cpus: 55 time: 0.029000
cpus: 56 time: 0.029000
cpus: 57 time: 0.029000
cpus: 58 time: 0.029000
cpus: 59 time: 0.034000
cpus: 60 time: 0.037000
cpus: 61 time: 0.029000
cpus: 62 time: 0.028000
cpus: 63 time: 0.029000
cpus: 64 time: 0.028000
